name,datetime,conditions,description,icon
CT,2020/5/16,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain
CT,2020/5/17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/5/18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
CT,2020/5/19,Clear,Clear conditions throughout the day.,clear-day
CT,2020/5/20,Clear,Clear conditions throughout the day.,clear-day
CT,2020/5/21,Clear,Clear conditions throughout the day.,clear-day
CT,2020/5/22,Clear,Clear conditions throughout the day.,clear-day
CT,2020/5/23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
CT,2020/5/24,Clear,Clear conditions throughout the day.,clear-day
CT,2020/5/25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
CT,2020/5/26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
